pedido_id,data_pedido,atrasou,probabilidade_atraso,previsao
PED001012,2025-07-22,1,0.8215899760362194,1
PED001013,2025-07-22,0,0.6449759575733177,1
PED001014,2025-07-22,0,0.40268112689906593,0
PED001015,2025-07-22,1,0.46119906627551516,0
PED001016,2025-07-23,1,0.4460944453271459,0
PED001017,2025-07-23,0,0.3704143735237368,0
PED001018,2025-07-23,0,0.1122192118720509,0
PED001019,2025-07-23,1,0.39153912710678573,0
PED001020,2025-07-23,0,0.2751919359907657,0
PED001021,2025-07-24,0,0.1837705981769921,0
PED001022,2025-07-24,0,0.13938824633832075,0
PED001023,2025-07-24,0,0.2317459329883627,0
PED001024,2025-07-24,0,0.6189238891694704,1
PED001025,2025-07-24,0,0.30839911415335686,0
PED001026,2025-07-25,0,0.024781111335178914,0
PED001027,2025-07-25,1,0.5492829113224434,1
PED001028,2025-07-25,0,0.09825682136181069,0
PED001029,2025-07-25,0,0.3155759592020765,0
PED001030,2025-07-25,1,0.2732145117381395,0
PED001031,2025-07-26,1,0.42290872166943366,0
PED001032,2025-07-26,0,0.205707833494152,0
PED001033,2025-07-26,0,0.5436657730524542,1
PED001034,2025-07-26,0,0.7329283975235394,1
PED001035,2025-07-26,0,0.2670526499141773,0
PED001036,2025-07-27,1,0.3692090064234158,0
PED001037,2025-07-27,1,0.7957159945019059,1
PED001038,2025-07-27,1,0.12207863738707823,0
PED001039,2025-07-27,0,0.11680003166501171,0
PED001040,2025-07-27,0,0.5271685387720453,1
PED001041,2025-07-28,1,0.5140820266726625,1
PED001042,2025-07-28,0,0.11752957771637132,0
PED001043,2025-07-28,0,0.5355665919023503,1
PED001044,2025-07-28,1,0.17850931622747981,0
PED001045,2025-07-28,1,0.5969702947872487,1
PED001046,2025-07-29,0,0.38685003163863096,0
PED001047,2025-07-29,0,0.8193426512854356,1
PED001048,2025-07-29,0,0.23466033989812846,0
PED001049,2025-07-29,0,0.6617585631243034,1
PED001050,2025-07-29,0,0.35028037133040046,0
PED001051,2025-07-30,0,0.04479200148186797,0
PED001052,2025-07-30,0,0.10858957577542323,0
PED001053,2025-07-30,0,0.1590991803554565,0
PED001054,2025-07-30,0,0.6173360849462182,1
PED001055,2025-07-30,0,0.12057604933293506,0
PED001056,2025-07-31,0,0.259206689950662,0
PED001057,2025-07-31,1,0.5316238117921814,1
PED001058,2025-07-31,0,0.08226432598928848,0
PED001059,2025-07-31,0,0.4880813015111452,0
PED001060,2025-07-31,0,0.14132710227029585,0
PED001061,2025-08-01,0,0.5698906871335453,1
PED001062,2025-08-01,0,0.35892674549379017,0
PED001063,2025-08-01,1,0.3135885024421951,0
PED001064,2025-08-01,1,0.30156791873188327,0
PED001065,2025-08-01,0,0.12466865575727908,0
PED001066,2025-08-02,1,0.7286877788448999,1
PED001067,2025-08-02,0,0.15234101855709498,0
PED001068,2025-08-02,0,0.06131759189495835,0
PED001069,2025-08-02,0,0.051830210748123974,0
PED001070,2025-08-02,1,0.3246609406938378,0
PED001071,2025-08-03,0,0.5258166162447593,1
PED001072,2025-08-03,0,0.18060737072073157,0
PED001073,2025-08-03,1,0.8849231099137093,1
PED001074,2025-08-03,0,0.1316092569894651,0
PED001075,2025-08-03,0,0.8401633578333305,1
PED001076,2025-08-04,0,0.24130390661137383,0
PED001077,2025-08-04,1,0.7775497518338056,1
PED001078,2025-08-04,1,0.17450217182540034,0
PED001079,2025-08-04,0,0.47295929697008143,0
PED001080,2025-08-04,1,0.9405234982482881,1
PED001081,2025-08-05,0,0.2951907385077281,0
PED001082,2025-08-05,1,0.8595884262888018,1
PED001083,2025-08-05,1,0.38856177102510225,0
PED001084,2025-08-05,0,0.6470034565235347,1
PED001085,2025-08-05,0,0.7649369588251248,1
PED001086,2025-08-06,0,0.10532308541201188,0
PED001087,2025-08-06,1,0.8378832470643133,1
PED001088,2025-08-06,1,0.5363971302984678,1
PED001089,2025-08-06,1,0.5389689034693149,1
PED001090,2025-08-06,0,0.044587727000158874,0
PED001091,2025-08-07,1,0.4819040102191566,0
PED001092,2025-08-07,0,0.646590573369207,1
PED001093,2025-08-07,1,0.6385304727020849,1
PED001094,2025-08-07,0,0.06606181400639644,0
PED001095,2025-08-07,1,0.18325644890745815,0
PED001096,2025-08-08,0,0.5167794714442676,1
PED001097,2025-08-08,0,0.14815296735875788,0
PED001098,2025-08-08,1,0.5254418720949825,1
PED001099,2025-08-08,1,0.596219434008999,1
PED001100,2025-08-08,0,0.08018643285176137,0
PED001101,2025-08-09,0,0.14466243359216144,0
PED001102,2025-08-09,1,0.5347007075671032,1
PED001103,2025-08-09,1,0.10419408411647373,0
PED001104,2025-08-09,1,0.472847879433819,0
PED001105,2025-08-09,0,0.5062750035790313,1
PED001106,2025-08-10,0,0.31767238739358533,0
PED001107,2025-08-10,0,0.18449127947881167,0
PED001108,2025-08-10,1,0.750486037357475,1
PED001109,2025-08-10,0,0.6311258838671431,1
PED001110,2025-08-10,0,0.041723158660299166,0
PED001111,2025-08-11,1,0.6863914325506069,1
PED001112,2025-08-11,1,0.7710802929677251,1
PED001113,2025-08-11,1,0.3691828110504233,0
PED001114,2025-08-11,0,0.24563975617532857,0
PED001115,2025-08-11,0,0.24167289729948932,0
PED001116,2025-08-12,0,0.14839218549405636,0
PED001117,2025-08-12,0,0.33082188462435236,0
PED001118,2025-08-12,0,0.06851556025590917,0
PED001119,2025-08-12,1,0.6689184058197367,1
PED001120,2025-08-12,1,0.09913450671383266,0
PED001121,2025-08-13,0,0.6391910063968417,1
PED001122,2025-08-13,0,0.14694311936191642,0
PED001123,2025-08-13,0,0.29204816016680474,0
PED001124,2025-08-13,1,0.1657117042652286,0
PED001125,2025-08-13,0,0.4792203325662729,0
PED001126,2025-08-14,0,0.6683749046036452,1
PED001127,2025-08-14,1,0.7967435865699078,1
PED001128,2025-08-14,1,0.6723455228828799,1
PED001129,2025-08-14,0,0.08353242465225731,0
PED001130,2025-08-14,0,0.7538398621299052,1
PED001131,2025-08-15,0,0.13430333993652724,0
PED001132,2025-08-15,1,0.8183342822891083,1
PED001133,2025-08-15,0,0.2801965089948813,0
PED001134,2025-08-15,0,0.16029140900374103,0
PED001135,2025-08-15,0,0.24127027887324518,0
PED001136,2025-08-16,0,0.03830321957110737,0
PED001137,2025-08-16,0,0.41511964603189305,0
PED001138,2025-08-16,0,0.49116176551660196,0
PED001139,2025-08-16,1,0.721044591952389,1
PED001140,2025-08-16,1,0.808106886307436,1
PED001141,2025-08-17,1,0.156782299452156,0
PED001142,2025-08-17,0,0.2198355943961034,0
PED001143,2025-08-17,0,0.3623878266392484,0
PED001144,2025-08-17,0,0.5063993587065423,1
PED001145,2025-08-17,0,0.18112990005419707,0
PED001146,2025-08-18,0,0.3285017431831427,0
PED001147,2025-08-18,0,0.6633648883371118,1
PED001148,2025-08-18,0,0.15735273096441899,0
PED001149,2025-08-18,1,0.6228622014335459,1
PED001150,2025-08-18,0,0.4827878669438591,0
PED001151,2025-08-19,1,0.06160593679836416,0
PED001152,2025-08-19,1,0.7350706622041313,1
PED001153,2025-08-19,0,0.4698427219316714,0
PED001154,2025-08-19,1,0.7041060003520354,1
PED001155,2025-08-19,1,0.5843390683174089,1
PED001156,2025-08-20,0,0.6936942072921586,1
PED001157,2025-08-20,1,0.37723539286932967,0
PED001158,2025-08-20,0,0.8787157003140245,1
PED001159,2025-08-20,1,0.4375036088349052,0
PED001160,2025-08-20,0,0.22503560476539428,0
PED001161,2025-08-21,0,0.14301153496976238,0
PED001162,2025-08-21,1,0.5409032528204555,1
PED001163,2025-08-21,0,0.07650058140571182,0
PED001164,2025-08-21,0,0.4650620198878417,0
PED001165,2025-08-21,1,0.12559956191075622,0
PED001166,2025-08-22,1,0.19160929643070362,0
PED001167,2025-08-22,0,0.04452704022184099,0
PED001168,2025-08-22,0,0.4497603657990876,0
PED001169,2025-08-22,1,0.8732879319199642,1
PED001170,2025-08-22,1,0.7787046831177518,1
PED001171,2025-08-23,0,0.2568333023913567,0
PED001172,2025-08-23,0,0.4101598622275108,0
PED001173,2025-08-23,1,0.4441950744080156,0
PED001174,2025-08-23,0,0.23522531784176065,0
PED001175,2025-08-23,1,0.36769568923237045,0
PED001176,2025-08-24,0,0.1406302820258629,0
PED001177,2025-08-24,1,0.8081404750096385,1
PED001178,2025-08-24,1,0.08140002361017036,0
PED001179,2025-08-24,0,0.6949931147226388,1
PED001180,2025-08-24,1,0.2886378185172247,0
PED001181,2025-08-25,0,0.30939113953651054,0
PED001182,2025-08-25,1,0.87646672479145,1
PED001183,2025-08-25,0,0.22523020826168028,0
PED001184,2025-08-25,0,0.5264159475497038,1
PED001185,2025-08-25,1,0.393233122379798,0
PED001186,2025-08-26,0,0.17787275394515015,0
PED001187,2025-08-26,0,0.0736705413979213,0
PED001188,2025-08-26,0,0.5107268428584424,1
PED001189,2025-08-26,1,0.27616735728126346,0
PED001190,2025-08-26,0,0.7691150724661514,1
PED001191,2025-08-27,1,0.695414432538364,1
PED001192,2025-08-27,1,0.47510942023713904,0
PED001193,2025-08-27,0,0.10306072793472987,0
PED001194,2025-08-27,1,0.7178842053239152,1
PED001195,2025-08-27,1,0.8500902587078063,1
PED001196,2025-08-28,0,0.145242702522165,0
PED001197,2025-08-28,1,0.2951423163114248,0
PED001198,2025-08-28,0,0.2478289225090476,0
PED001199,2025-08-28,0,0.4608067068414518,0
PED001200,2025-08-28,1,0.6321088522050253,1
